"person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status","loan_category","person_gender_numeric"
21,"female","Master",0.16767978236982,0,"RENT",35000,"PERSONAL",16.02,0.49,3,561,"No","1","High",1
21,"female","High School",0,0,"OWN",1000,"EDUCATION",11.14,0.235,2,504,"Yes","0","Low",1
25,"female","High School",0.000438407904831761,3,"MORTGAGE",5500,"MEDICAL",12.87,0,3,635,"No","1","Medium",1
23,"female","Bachelor",0.189614229146819,0,"RENT",35000,"MEDICAL",15.23,0.44,2,675,"No","1","High",1
24,"male","Master",0.151343467300672,1,"RENT",35000,"MEDICAL",14.27,0.53,4,586,"No","1","High",2
23,"female","High School",0.00188009543802851,0,"OWN",2500,"VENTURE",7.14,0.19,2,532,"No","1","Low",1
22,"female","Bachelor",0.205158037618771,1,"RENT",35000,"EDUCATION",12.42,0.37,3,701,"No","1","High",1
24,"male","High School",0.234008650125199,5,"RENT",35000,"MEDICAL",11.11,0.37,4,585,"No","1","High",2
22,"female","Bachelor",0.248436766685496,3,"RENT",35000,"PERSONAL",8.9,0.35,2,544,"No","1","High",1
21,"female","High School",0.00128431033659048,0,"OWN",1600,"VENTURE",14.74,0.13,3,640,"No","1","Low",1
22,"female","High School",0.254903283281764,0,"RENT",35000,"VENTURE",10.37,0.34,4,621,"No","1","High",1
21,"female","Associate",0.0023353651853538,0,"OWN",4500,"HOMEIMPROVEMENT",8.63,0.34,2,651,"No","1","Low",1
23,"male","Bachelor",0.288275679883541,3,"RENT",35000,"VENTURE",7.9,0.3,2,573,"No","1","High",2
23,"male","Master",0.332827478058527,0,"RENT",35000,"EDUCATION",18.39,0.27,4,708,"No","1","High",2
23,"female","Associate",0.902460845396576,0,"RENT",35000,"EDUCATION",7.9,0.25,4,583,"No","1","High",1
23,"female","Bachelor",0.205158037618771,5,"MORTGAGE",30000,"DEBTCONSOLIDATION",10.65,0.05,3,670,"Yes","0","High",1
23,"male","Bachelor",0.372818147839014,0,"RENT",35000,"EDUCATION",7.9,0.24,4,663,"No","0","High",2
23,"female","High School",0.278464897859389,0,"RENT",35000,"MEDICAL",20,0.31,4,694,"No","1","High",1
23,"male","Bachelor",0.349450444450065,0,"RENT",35000,"DEBTCONSOLIDATION",18.25,0.26,4,709,"No","1","High",2
24,"female","Master",0.00562342447159201,1,"MORTGAGE",1750,"EDUCATION",10.99,0.12,2,679,"No","1","Low",1
25,"male","Bachelor",0.515511489940506,0,"RENT",35000,"VENTURE",7.49,0.18,4,684,"Yes","0","High",2
25,"male","High School",0.431410240196946,4,"RENT",34800,"PERSONAL",16.77,0.21,2,662,"No","0","High",2
22,"female","Master",0.188214696219856,0,"RENT",34000,"EDUCATION",17.58,0.43,4,691,"No","1","High",1
24,"female","Bachelor",0.00445152641829173,0,"OWN",1500,"PERSONAL",7.29,0.11,3,600,"Yes","0","Low",1
22,"male","Bachelor",0.239263924369016,1,"RENT",33950,"PERSONAL",14.54,0.35,4,691,"No","1","High",2
24,"female","High School",0.197173955198085,0,"RENT",33000,"HOMEIMPROVEMENT",12.68,0.4,3,654,"No","1","High",1
21,"female","Associate",0.00563747600700328,0,"MORTGAGE",4575,"VENTURE",17.74,0.32,3,626,"No","1","Low",1
23,"male","High School",0.00565152754241456,0,"OWN",1400,"PERSONAL",9.32,0.1,3,607,"No","0","Low",2
22,"female","Bachelor",0.187649824496323,1,"RENT",32500,"HOMEIMPROVEMENT",9.99,0.41,3,700,"No","1","High",1
21,"female","Bachelor",0.0076046909645817,0,"OTHER",4000,"EDUCATION",12.84,0.27,2,553,"No","1","Low",1
21,"male","High School",0.205158037618771,0,"OWN",2000,"MEDICAL",11.12,0.13,3,589,"No","1","Low",2
26,"male","Bachelor",0.372570840815776,1,"RENT",32000,"VENTURE",6.62,0.22,2,586,"Yes","0","High",2
26,"male","Bachelor",0.287671463860856,2,"RENT",31050,"HOMEIMPROVEMENT",14.17,0.27,3,681,"No","1","High",2
23,"female","High School",1,3,"RENT",24250,"DEBTCONSOLIDATION",13.85,0.07,3,567,"Yes","0","High",1
26,"female","Associate",0.980218248448008,1,"RENT",7800,"MEDICAL",13.49,0.02,4,669,"No","0","Medium",1
21,"male","Associate",0.00805996071190699,0,"RENT",2500,"EDUCATION",7.51,0.17,4,600,"No","1","Low",2
22,"female","Bachelor",0.130920965733926,0,"RENT",30000,"EDUCATION",18.39,0.51,2,606,"No","1","High",1
